seed,model,pval_kupiec,pval_christoffersen_ind,pval_christoffersen_cc,pval_dq,pval_er,pval_cc,pval_esr_v1,pval_esr_v2,pval_esr_v3,pval_mcs,in_mcs
3,bekk_lstm_scalar,0.5744312405273544,0.11593346518086627,0.2482373457408814,0.08057783682993647,0.907,1.0,0.05161957927810623,0.31766114405698387,0.9012600036269407,0.853,True
4,bekk_lstm_scalar,0.38487863637479336,0.1422386651653347,0.2335600034318475,0.12283206717915884,0.948,1.0,0.6178899039917801,0.7335715051858333,0.8673062781094283,0.837,True
5,bekk_lstm_scalar,0.38487863637479336,0.1422386651653347,0.2335600034318475,0.09897878139509664,0.929,1.0,0.24939197646196265,0.5843062162037844,0.9042677819270162,0.994,True
6,bekk_lstm_scalar,0.8067407000532538,0.09250290332999839,0.2357326905150423,0.122983913792027,0.84,1.0,0.5170911878771544,0.6390863277915573,0.8794602723721113,0.997,True
7,bekk_lstm_scalar,0.8067407000532538,0.09250290332999839,0.2357326905150423,0.10125964170801705,0.92,1.0,0.4336184283057014,0.42715492549488876,0.9072954426339283,0.414,True
8,bekk_lstm_scalar,0.8067407000532538,0.09250290332999839,0.2357326905150423,0.11710970572453094,0.871,1.0,0.31389418116231815,0.2146873130249204,0.9071174771391225,0.916,True
9,bekk_lstm_scalar,0.8067407000532538,0.09250290332999839,0.2357326905150423,0.10861685846676072,0.917,1.0,0.3393008475790308,0.3302226125695902,0.9064856579056002,0.405,True
42,bekk_lstm_scalar,0.5744312405273544,0.11593346518086627,0.2482373457408814,0.10540590250219029,0.878,1.0,0.10832300676724171,0.18315137614063604,0.9188262829483629,0.965,True
0,bekk_lstm_vector,0.8067407000532538,0.09250290332999839,0.2357326905150423,0.058978729149800624,0.859,1.0,0.007729659369080877,0.4726230216351921,0.9518722616241417,0.375,True
1,bekk_lstm_vector,0.2428716626058993,0.01091699580150539,0.0198150493486927,2.0609735717491695e-05,0.891,1.0,0.9565686678255269,0.9666015482010143,0.7705517136144662,0.339,True
2,bekk_lstm_vector,0.8067407000532538,0.0032493658390131265,0.012767394716730497,4.832540034804822e-09,0.819,1.0,0.8982289892160373,0.028587840022958888,0.8134585954434561,0.809,True
3,bekk_lstm_vector,0.5744312405273544,0.11593346518086627,0.2482373457408814,0.10051491169501403,0.887,1.0,0.8738631284433833,0.9034199182227508,0.8145232092651128,0.819,True
4,bekk_lstm_vector,0.5744312405273544,0.11593346518086627,0.2482373457408814,0.10109764913069208,0.926,1.0,0.9150824510542429,0.8092630580234239,0.8311483437234871,0.307,True
5,bekk_lstm_vector,0.5744312405273544,0.00507297808367812,0.01683524112739315,1.0686411825444608e-06,0.909,1.0,0.8203932967421682,0.16580196567903982,0.8793353685842612,0.852,True
6,bekk_lstm_vector,0.5744312405273544,0.11593346518086627,0.2482373457408814,0.07036212232812489,0.884,1.0,0.9697088836207821,0.03883914860031534,0.7712872897434018,0.388,True
7,bekk_lstm_vector,0.9338625169657003,0.0019717941960926085,0.008302090546974316,3.635075263019871e-08,0.823,1.0,0.8549825439333538,0.6860063993958081,0.8831180106558916,0.176,True
8,bekk_lstm_vector,0.5744312405273544,0.00507297808367812,0.01683524112739315,5.065814842164507e-06,0.894,1.0,0.983618222406824,0.17768601356235558,0.789438204482966,0.884,True
9,bekk_lstm_vector,0.6724123009394447,0.0541949487121868,0.1433109118254155,0.04452001248496951,0.825,1.0,0.7722773344612763,0.09779659515218675,0.8619041908106573,0.3,True
42,bekk_lstm_vector,0.5744312405273544,0.00507297808367812,0.01683524112739315,1.8482174293232845e-06,0.895,1.0,0.9757755818603968,0.9425900847620426,0.8302942972299466,0.543,True
0,bekk_symmetric,0.2428716626058993,0.01091699580150539,0.0198150493486927,3.925878267807548e-06,0.931,1.0,0.18200083387213484,0.26995884626214006,0.9147093983252118,0.416,True
1,bekk_symmetric,0.2428716626058993,0.01091699580150539,0.0198150493486927,3.925878267807548e-06,0.931,1.0,0.18200083387213484,0.26995884626214006,0.9147093983252118,0.318,True
