seed,model,metric,value
8,bekk_symmetric,alpha,0.01
8,bekk_asymmetric,alpha,0.01
8,dcc,alpha,0.01
8,adcc,alpha,0.01
9,lstm_normal,alpha,0.01
9,lstm_student,alpha,0.01
9,gru_normal,alpha,0.01
9,gru_student,alpha,0.01
9,bekk_lstm_vector,alpha,0.01
9,bekk_lstm_scalar,alpha,0.01
9,bekk_lstm_mix,alpha,0.01
9,neural_bekk_asym_diag,alpha,0.01
9,bekk_symmetric,alpha,0.01
9,bekk_asymmetric,alpha,0.01
9,dcc,alpha,0.01
9,adcc,alpha,0.01
42,lstm_normal,alpha,0.01
42,lstm_student,alpha,0.01
42,gru_normal,alpha,0.01
42,gru_student,alpha,0.01
42,bekk_lstm_vector,alpha,0.01
42,bekk_lstm_scalar,alpha,0.01
42,bekk_lstm_mix,alpha,0.01
42,neural_bekk_asym_diag,alpha,0.01
42,bekk_symmetric,alpha,0.01
42,bekk_asymmetric,alpha,0.01
42,dcc,alpha,0.01
42,adcc,alpha,0.01
0,lstm_normal,hit_rate,0.015135135135135135
0,lstm_student,hit_rate,0.011891891891891892
0,gru_normal,hit_rate,0.00972972972972973
0,gru_student,hit_rate,0.00972972972972973
0,bekk_lstm_vector,hit_rate,0.010810810810810811
0,bekk_lstm_scalar,hit_rate,0.010810810810810811
0,bekk_lstm_mix,hit_rate,0.010810810810810811
0,neural_bekk_asym_diag,hit_rate,0.00972972972972973
0,bekk_symmetric,hit_rate,0.014054054054054054
0,bekk_asymmetric,hit_rate,0.014054054054054054
0,dcc,hit_rate,0.014054054054054054
0,adcc,hit_rate,0.014054054054054054
1,lstm_normal,hit_rate,0.011891891891891892
1,lstm_student,hit_rate,0.011891891891891892
1,gru_normal,hit_rate,0.008648648648648649
1,gru_student,hit_rate,0.008648648648648649
1,bekk_lstm_vector,hit_rate,0.014054054054054054
1,bekk_lstm_scalar,hit_rate,0.012972972972972972
1,bekk_lstm_mix,hit_rate,0.010810810810810811
1,neural_bekk_asym_diag,hit_rate,0.008648648648648649
1,bekk_symmetric,hit_rate,0.014054054054054054
1,bekk_asymmetric,hit_rate,0.014054054054054054
1,dcc,hit_rate,0.014054054054054054
1,adcc,hit_rate,0.014054054054054054
2,lstm_normal,hit_rate,0.011891891891891892
2,lstm_student,hit_rate,0.010810810810810811
2,gru_normal,hit_rate,0.008648648648648649
2,gru_student,hit_rate,0.008648648648648649
2,bekk_lstm_vector,hit_rate,0.010810810810810811
2,bekk_lstm_scalar,hit_rate,0.011891891891891892
2,bekk_lstm_mix,hit_rate,0.011891891891891892
2,neural_bekk_asym_diag,hit_rate,0.011891891891891892
2,bekk_symmetric,hit_rate,0.014054054054054054
2,bekk_asymmetric,hit_rate,0.014054054054054054
2,dcc,hit_rate,0.014054054054054054
2,adcc,hit_rate,0.014054054054054054
3,lstm_normal,hit_rate,0.010810810810810811
3,lstm_student,hit_rate,0.011891891891891892
3,gru_normal,hit_rate,0.00972972972972973
3,gru_student,hit_rate,0.008648648648648649
3,bekk_lstm_vector,hit_rate,0.011891891891891892
3,bekk_lstm_scalar,hit_rate,0.011891891891891892
3,bekk_lstm_mix,hit_rate,0.00972972972972973
3,neural_bekk_asym_diag,hit_rate,0.011891891891891892
3,bekk_symmetric,hit_rate,0.014054054054054054
3,bekk_asymmetric,hit_rate,0.014054054054054054
3,dcc,hit_rate,0.014054054054054054
3,adcc,hit_rate,0.014054054054054054
4,lstm_normal,hit_rate,0.011891891891891892
4,lstm_student,hit_rate,0.010810810810810811
4,gru_normal,hit_rate,0.011891891891891892
4,gru_student,hit_rate,0.008648648648648649
4,bekk_lstm_vector,hit_rate,0.011891891891891892
4,bekk_lstm_scalar,hit_rate,0.012972972972972972
4,bekk_lstm_mix,hit_rate,0.011891891891891892
4,neural_bekk_asym_diag,hit_rate,0.010810810810810811
4,bekk_symmetric,hit_rate,0.014054054054054054
4,bekk_asymmetric,hit_rate,0.014054054054054054
4,dcc,hit_rate,0.014054054054054054
4,adcc,hit_rate,0.014054054054054054
5,lstm_normal,hit_rate,0.011891891891891892
5,lstm_student,hit_rate,0.012972972972972972
5,gru_normal,hit_rate,0.00972972972972973
5,gru_student,hit_rate,0.008648648648648649
5,bekk_lstm_vector,hit_rate,0.011891891891891892
5,bekk_lstm_scalar,hit_rate,0.012972972972972972
5,bekk_lstm_mix,hit_rate,0.010810810810810811
5,neural_bekk_asym_diag,hit_rate,0.00972972972972973
5,bekk_symmetric,hit_rate,0.014054054054054054
5,bekk_asymmetric,hit_rate,0.014054054054054054
5,dcc,hit_rate,0.014054054054054054
5,adcc,hit_rate,0.014054054054054054
6,lstm_normal,hit_rate,0.011891891891891892
6,lstm_student,hit_rate,0.011891891891891892
6,gru_normal,hit_rate,0.00972972972972973
6,gru_student,hit_rate,0.00972972972972973
6,bekk_lstm_vector,hit_rate,0.011891891891891892
6,bekk_lstm_scalar,hit_rate,0.010810810810810811
6,bekk_lstm_mix,hit_rate,0.00972972972972973
6,neural_bekk_asym_diag,hit_rate,0.00972972972972973
6,bekk_symmetric,hit_rate,0.014054054054054054
6,bekk_asymmetric,hit_rate,0.014054054054054054
6,dcc,hit_rate,0.014054054054054054
6,adcc,hit_rate,0.014054054054054054
7,lstm_normal,hit_rate,0.010810810810810811
7,lstm_student,hit_rate,0.010810810810810811
7,gru_normal,hit_rate,0.010810810810810811
7,gru_student,hit_rate,0.00972972972972973
7,bekk_lstm_vector,hit_rate,0.00972972972972973
7,bekk_lstm_scalar,hit_rate,0.010810810810810811
7,bekk_lstm_mix,hit_rate,0.010810810810810811
7,neural_bekk_asym_diag,hit_rate,0.008648648648648649
7,bekk_symmetric,hit_rate,0.014054054054054054
7,bekk_asymmetric,hit_rate,0.014054054054054054
7,dcc,hit_rate,0.014054054054054054
7,adcc,hit_rate,0.014054054054054054
8,lstm_normal,hit_rate,0.010810810810810811
8,lstm_student,hit_rate,0.010810810810810811
8,gru_normal,hit_rate,0.008648648648648649
8,gru_student,hit_rate,0.00972972972972973
8,bekk_lstm_vector,hit_rate,0.011891891891891892
8,bekk_lstm_scalar,hit_rate,0.010810810810810811
8,bekk_lstm_mix,hit_rate,0.00972972972972973
8,neural_bekk_asym_diag,hit_rate,0.010810810810810811
8,bekk_symmetric,hit_rate,0.014054054054054054
8,bekk_asymmetric,hit_rate,0.014054054054054054
8,dcc,hit_rate,0.014054054054054054
8,adcc,hit_rate,0.014054054054054054
9,lstm_normal,hit_rate,0.011891891891891892
9,lstm_student,hit_rate,0.011891891891891892
9,gru_normal,hit_rate,0.00972972972972973
9,gru_student,hit_rate,0.00972972972972973
9,bekk_lstm_vector,hit_rate,0.008648648648648649
9,bekk_lstm_scalar,hit_rate,0.010810810810810811
9,bekk_lstm_mix,hit_rate,0.008648648648648649
9,neural_bekk_asym_diag,hit_rate,0.010810810810810811
9,bekk_symmetric,hit_rate,0.014054054054054054
9,bekk_asymmetric,hit_rate,0.014054054054054054
9,dcc,hit_rate,0.014054054054054054
9,adcc,hit_rate,0.014054054054054054
42,lstm_normal,hit_rate,0.010810810810810811
42,lstm_student,hit_rate,0.00972972972972973
42,gru_normal,hit_rate,0.008648648648648649
42,gru_student,hit_rate,0.00972972972972973
42,bekk_lstm_vector,hit_rate,0.011891891891891892
42,bekk_lstm_scalar,hit_rate,0.011891891891891892
42,bekk_lstm_mix,hit_rate,0.00972972972972973
42,neural_bekk_asym_diag,hit_rate,0.008648648648648649
42,bekk_symmetric,hit_rate,0.014054054054054054
42,bekk_asymmetric,hit_rate,0.014054054054054054
42,dcc,hit_rate,0.014054054054054054
42,adcc,hit_rate,0.014054054054054054
0,lstm_normal,n_exceptions,14.0
0,lstm_student,n_exceptions,11.0
0,gru_normal,n_exceptions,9.0
0,gru_student,n_exceptions,9.0
0,bekk_lstm_vector,n_exceptions,10.0
0,bekk_lstm_scalar,n_exceptions,10.0
0,bekk_lstm_mix,n_exceptions,10.0
0,neural_bekk_asym_diag,n_exceptions,9.0
0,bekk_symmetric,n_exceptions,13.0
0,bekk_asymmetric,n_exceptions,13.0
0,dcc,n_exceptions,13.0
0,adcc,n_exceptions,13.0
1,lstm_normal,n_exceptions,11.0
1,lstm_student,n_exceptions,11.0
1,gru_normal,n_exceptions,8.0
1,gru_student,n_exceptions,8.0
1,bekk_lstm_vector,n_exceptions,13.0
1,bekk_lstm_scalar,n_exceptions,12.0
1,bekk_lstm_mix,n_exceptions,10.0
1,neural_bekk_asym_diag,n_exceptions,8.0
1,bekk_symmetric,n_exceptions,13.0
1,bekk_asymmetric,n_exceptions,13.0
1,dcc,n_exceptions,13.0
1,adcc,n_exceptions,13.0
2,lstm_normal,n_exceptions,11.0
2,lstm_student,n_exceptions,10.0
2,gru_normal,n_exceptions,8.0
2,gru_student,n_exceptions,8.0
2,bekk_lstm_vector,n_exceptions,10.0
2,bekk_lstm_scalar,n_exceptions,11.0
2,bekk_lstm_mix,n_exceptions,11.0
2,neural_bekk_asym_diag,n_exceptions,11.0
2,bekk_symmetric,n_exceptions,13.0
2,bekk_asymmetric,n_exceptions,13.0
2,dcc,n_exceptions,13.0
2,adcc,n_exceptions,13.0
3,lstm_normal,n_exceptions,10.0
3,lstm_student,n_exceptions,11.0
3,gru_normal,n_exceptions,9.0
3,gru_student,n_exceptions,8.0
3,bekk_lstm_vector,n_exceptions,11.0
3,bekk_lstm_scalar,n_exceptions,11.0
3,bekk_lstm_mix,n_exceptions,9.0
3,neural_bekk_asym_diag,n_exceptions,11.0
3,bekk_symmetric,n_exceptions,13.0
3,bekk_asymmetric,n_exceptions,13.0
3,dcc,n_exceptions,13.0
3,adcc,n_exceptions,13.0
4,lstm_normal,n_exceptions,11.0
4,lstm_student,n_exceptions,10.0
4,gru_normal,n_exceptions,11.0
4,gru_student,n_exceptions,8.0
4,bekk_lstm_vector,n_exceptions,11.0
4,bekk_lstm_scalar,n_exceptions,12.0
4,bekk_lstm_mix,n_exceptions,11.0
4,neural_bekk_asym_diag,n_exceptions,10.0
4,bekk_symmetric,n_exceptions,13.0
4,bekk_asymmetric,n_exceptions,13.0
4,dcc,n_exceptions,13.0
4,adcc,n_exceptions,13.0
5,lstm_normal,n_exceptions,11.0
5,lstm_student,n_exceptions,12.0
5,gru_normal,n_exceptions,9.0
5,gru_student,n_exceptions,8.0
5,bekk_lstm_vector,n_exceptions,11.0
5,bekk_lstm_scalar,n_exceptions,12.0
5,bekk_lstm_mix,n_exceptions,10.0
5,neural_bekk_asym_diag,n_exceptions,9.0
5,bekk_symmetric,n_exceptions,13.0
5,bekk_asymmetric,n_exceptions,13.0
5,dcc,n_exceptions,13.0
5,adcc,n_exceptions,13.0
6,lstm_normal,n_exceptions,11.0
6,lstm_student,n_exceptions,11.0
6,gru_normal,n_exceptions,9.0
6,gru_student,n_exceptions,9.0
6,bekk_lstm_vector,n_exceptions,11.0
6,bekk_lstm_scalar,n_exceptions,10.0
6,bekk_lstm_mix,n_exceptions,9.0
6,neural_bekk_asym_diag,n_exceptions,9.0
6,bekk_symmetric,n_exceptions,13.0
6,bekk_asymmetric,n_exceptions,13.0
6,dcc,n_exceptions,13.0
6,adcc,n_exceptions,13.0
7,lstm_normal,n_exceptions,10.0
7,lstm_student,n_exceptions,10.0
7,gru_normal,n_exceptions,10.0
7,gru_student,n_exceptions,9.0
7,bekk_lstm_vector,n_exceptions,9.0
7,bekk_lstm_scalar,n_exceptions,10.0
7,bekk_lstm_mix,n_exceptions,10.0
7,neural_bekk_asym_diag,n_exceptions,8.0
7,bekk_symmetric,n_exceptions,13.0
7,bekk_asymmetric,n_exceptions,13.0
7,dcc,n_exceptions,13.0
7,adcc,n_exceptions,13.0
8,lstm_normal,n_exceptions,10.0
8,lstm_student,n_exceptions,10.0
8,gru_normal,n_exceptions,8.0
8,gru_student,n_exceptions,9.0
8,bekk_lstm_vector,n_exceptions,11.0
8,bekk_lstm_scalar,n_exceptions,10.0
8,bekk_lstm_mix,n_exceptions,9.0
8,neural_bekk_asym_diag,n_exceptions,10.0
8,bekk_symmetric,n_exceptions,13.0
8,bekk_asymmetric,n_exceptions,13.0
8,dcc,n_exceptions,13.0
8,adcc,n_exceptions,13.0
9,lstm_normal,n_exceptions,11.0
9,lstm_student,n_exceptions,11.0
9,gru_normal,n_exceptions,9.0
9,gru_student,n_exceptions,9.0
9,bekk_lstm_vector,n_exceptions,8.0
9,bekk_lstm_scalar,n_exceptions,10.0
9,bekk_lstm_mix,n_exceptions,8.0
9,neural_bekk_asym_diag,n_exceptions,10.0
9,bekk_symmetric,n_exceptions,13.0
9,bekk_asymmetric,n_exceptions,13.0
9,dcc,n_exceptions,13.0
9,adcc,n_exceptions,13.0
42,lstm_normal,n_exceptions,10.0
42,lstm_student,n_exceptions,9.0
42,gru_normal,n_exceptions,8.0
42,gru_student,n_exceptions,9.0
42,bekk_lstm_vector,n_exceptions,11.0
42,bekk_lstm_scalar,n_exceptions,11.0
42,bekk_lstm_mix,n_exceptions,9.0
42,neural_bekk_asym_diag,n_exceptions,8.0
42,bekk_symmetric,n_exceptions,13.0
42,bekk_asymmetric,n_exceptions,13.0
42,dcc,n_exceptions,13.0
42,adcc,n_exceptions,13.0
0,lstm_normal,expected_exceptions,9.25
0,lstm_student,expected_exceptions,9.25
0,gru_normal,expected_exceptions,9.25
0,gru_student,expected_exceptions,9.25
0,bekk_lstm_vector,expected_exceptions,9.25
0,bekk_lstm_scalar,expected_exceptions,9.25
0,bekk_lstm_mix,expected_exceptions,9.25
0,neural_bekk_asym_diag,expected_exceptions,9.25
0,bekk_symmetric,expected_exceptions,9.25
0,bekk_asymmetric,expected_exceptions,9.25
0,dcc,expected_exceptions,9.25
0,adcc,expected_exceptions,9.25
1,lstm_normal,expected_exceptions,9.25
1,lstm_student,expected_exceptions,9.25
1,gru_normal,expected_exceptions,9.25
1,gru_student,expected_exceptions,9.25
1,bekk_lstm_vector,expected_exceptions,9.25
1,bekk_lstm_scalar,expected_exceptions,9.25
1,bekk_lstm_mix,expected_exceptions,9.25
1,neural_bekk_asym_diag,expected_exceptions,9.25
1,bekk_symmetric,expected_exceptions,9.25
1,bekk_asymmetric,expected_exceptions,9.25
1,dcc,expected_exceptions,9.25
1,adcc,expected_exceptions,9.25
2,lstm_normal,expected_exceptions,9.25
2,lstm_student,expected_exceptions,9.25
2,gru_normal,expected_exceptions,9.25
2,gru_student,expected_exceptions,9.25
2,bekk_lstm_vector,expected_exceptions,9.25
2,bekk_lstm_scalar,expected_exceptions,9.25
2,bekk_lstm_mix,expected_exceptions,9.25
2,neural_bekk_asym_diag,expected_exceptions,9.25
2,bekk_symmetric,expected_exceptions,9.25
2,bekk_asymmetric,expected_exceptions,9.25
2,dcc,expected_exceptions,9.25
2,adcc,expected_exceptions,9.25
3,lstm_normal,expected_exceptions,9.25
3,lstm_student,expected_exceptions,9.25
3,gru_normal,expected_exceptions,9.25
3,gru_student,expected_exceptions,9.25
3,bekk_lstm_vector,expected_exceptions,9.25
3,bekk_lstm_scalar,expected_exceptions,9.25
3,bekk_lstm_mix,expected_exceptions,9.25
3,neural_bekk_asym_diag,expected_exceptions,9.25
3,bekk_symmetric,expected_exceptions,9.25
3,bekk_asymmetric,expected_exceptions,9.25
3,dcc,expected_exceptions,9.25
3,adcc,expected_exceptions,9.25
4,lstm_normal,expected_exceptions,9.25
4,lstm_student,expected_exceptions,9.25
4,gru_normal,expected_exceptions,9.25
4,gru_student,expected_exceptions,9.25
4,bekk_lstm_vector,expected_exceptions,9.25
4,bekk_lstm_scalar,expected_exceptions,9.25
4,bekk_lstm_mix,expected_exceptions,9.25
4,neural_bekk_asym_diag,expected_exceptions,9.25
4,bekk_symmetric,expected_exceptions,9.25
4,bekk_asymmetric,expected_exceptions,9.25
4,dcc,expected_exceptions,9.25
4,adcc,expected_exceptions,9.25
5,lstm_normal,expected_exceptions,9.25
5,lstm_student,expected_exceptions,9.25
5,gru_normal,expected_exceptions,9.25
5,gru_student,expected_exceptions,9.25
5,bekk_lstm_vector,expected_exceptions,9.25
5,bekk_lstm_scalar,expected_exceptions,9.25
5,bekk_lstm_mix,expected_exceptions,9.25
5,neural_bekk_asym_diag,expected_exceptions,9.25
5,bekk_symmetric,expected_exceptions,9.25
5,bekk_asymmetric,expected_exceptions,9.25
5,dcc,expected_exceptions,9.25
5,adcc,expected_exceptions,9.25
6,lstm_normal,expected_exceptions,9.25
6,lstm_student,expected_exceptions,9.25
6,gru_normal,expected_exceptions,9.25
6,gru_student,expected_exceptions,9.25
6,bekk_lstm_vector,expected_exceptions,9.25
6,bekk_lstm_scalar,expected_exceptions,9.25
6,bekk_lstm_mix,expected_exceptions,9.25
6,neural_bekk_asym_diag,expected_exceptions,9.25
6,bekk_symmetric,expected_exceptions,9.25
6,bekk_asymmetric,expected_exceptions,9.25
6,dcc,expected_exceptions,9.25
6,adcc,expected_exceptions,9.25
7,lstm_normal,expected_exceptions,9.25
7,lstm_student,expected_exceptions,9.25
7,gru_normal,expected_exceptions,9.25
7,gru_student,expected_exceptions,9.25
7,bekk_lstm_vector,expected_exceptions,9.25
7,bekk_lstm_scalar,expected_exceptions,9.25
7,bekk_lstm_mix,expected_exceptions,9.25
7,neural_bekk_asym_diag,expected_exceptions,9.25
7,bekk_symmetric,expected_exceptions,9.25
7,bekk_asymmetric,expected_exceptions,9.25
7,dcc,expected_exceptions,9.25
7,adcc,expected_exceptions,9.25
8,lstm_normal,expected_exceptions,9.25
8,lstm_student,expected_exceptions,9.25
8,gru_normal,expected_exceptions,9.25
8,gru_student,expected_exceptions,9.25
8,bekk_lstm_vector,expected_exceptions,9.25
8,bekk_lstm_scalar,expected_exceptions,9.25
8,bekk_lstm_mix,expected_exceptions,9.25
8,neural_bekk_asym_diag,expected_exceptions,9.25
8,bekk_symmetric,expected_exceptions,9.25
8,bekk_asymmetric,expected_exceptions,9.25
8,dcc,expected_exceptions,9.25
8,adcc,expected_exceptions,9.25
9,lstm_normal,expected_exceptions,9.25
9,lstm_student,expected_exceptions,9.25
9,gru_normal,expected_exceptions,9.25
9,gru_student,expected_exceptions,9.25
9,bekk_lstm_vector,expected_exceptions,9.25
9,bekk_lstm_scalar,expected_exceptions,9.25
9,bekk_lstm_mix,expected_exceptions,9.25
9,neural_bekk_asym_diag,expected_exceptions,9.25
9,bekk_symmetric,expected_exceptions,9.25
9,bekk_asymmetric,expected_exceptions,9.25
9,dcc,expected_exceptions,9.25
9,adcc,expected_exceptions,9.25
42,lstm_normal,expected_exceptions,9.25
42,lstm_student,expected_exceptions,9.25
42,gru_normal,expected_exceptions,9.25
42,gru_student,expected_exceptions,9.25
42,bekk_lstm_vector,expected_exceptions,9.25
42,bekk_lstm_scalar,expected_exceptions,9.25
42,bekk_lstm_mix,expected_exceptions,9.25
42,neural_bekk_asym_diag,expected_exceptions,9.25
42,bekk_symmetric,expected_exceptions,9.25
42,bekk_asymmetric,expected_exceptions,9.25
42,dcc,expected_exceptions,9.25
